Variable,Coef,SE,z,p_value,OR,OR_low,OR_upp,Signif
const,4.2397362470742195,0.08445147839544788,50.20322115879917,0.0,69.38954772874797,58.80426527580712,81.88027367431648,***
EDAD_INGRESO,-0.00305263253719171,0.0017374179249610435,-1.7569938086486336,0.07891886451978067,0.9969520220081018,0.9935628983837056,1.000352706208039,ns
COHORTE_COVID,0.5586313247843082,0.0429465352277759,13.007599374931889,1.1076739913854477e-38,1.74827803722907,1.6071423474889626,1.9018079513821786,***
ES_PRIVADA,-0.9202007503255436,0.030190484774976708,-30.479826911830486,4.823523881020551e-204,0.3984390462870406,0.37554648775633326,0.42272708914037566,***
LICENCIADA,0.5313351437671796,0.049076894558499826,10.826584455824243,2.5758496319441966e-27,1.7012021424413177,1.5451889459096868,1.8729675339109522,***
MACROREGION,0.12346141504931993,0.013634073466845751,9.055357912625563,1.3612063585168006e-19,1.131406348441696,1.101572960083085,1.162047700587734,***
NIVEL_ACADEMICO,-0.9918919256531017,0.01998967785373763,-49.62020563366106,0.0,0.37087436013660857,0.3566248199541652,0.38569326449128527,***
AREA_CONOCIMIENTO,0.0406793078928277,0.0107212125875926,3.79428236875975,0.00014807109086475582,1.0415180453664847,1.0198607693588562,1.0636352249395433,***
n_semestres,-0.6803872281034247,0.006260803372066099,-108.67410900318583,0.0,0.5064208540060665,0.5002445614573026,0.5126734024356275,***
brecha,-0.11421505646716486,0.030356492178808304,-3.7624589756420455,0.00016825091356570661,0.8920660906702833,0.8405383598655295,0.9467526386910794,***
